store_id,date,hour,role,required_staff
S001,2026-05-03,8,Cashier,3
S001,2026-05-03,8,Floor,2
S001,2026-05-03,8,Stock,1
S001,2026-05-03,8,Customer Service,1
S001,2026-05-03,8,Supervisor,1
S001,2026-05-03,9,Cashier,3
S001,2026-05-03,9,Floor,2
S001,2026-05-03,9,Stock,1
S001,2026-05-03,9,Customer Service,1
S001,2026-05-03,9,Supervisor,1
S001,2026-05-03,10,Cashier,3
S001,2026-05-03,10,Floor,2
S001,2026-05-03,10,Stock,1
S001,2026-05-03,10,Customer Service,2
S001,2026-05-03,10,Supervisor,1
S001,2026-05-03,11,Cashier,3
S001,2026-05-03,11,Floor,2
S001,2026-05-03,11,Stock,1
S001,2026-05-03,11,Customer Service,2
S001,2026-05-03,11,Supervisor,1
S001,2026-05-03,12,Cashier,4
S001,2026-05-03,12,Floor,3
S001,2026-05-03,12,Stock,2
S001,2026-05-03,12,Customer Service,2
S001,2026-05-03,12,Supervisor,1
S001,2026-05-03,13,Cashier,4
S001,2026-05-03,13,Floor,3
S001,2026-05-03,13,Stock,2
S001,2026-05-03,13,Customer Service,2
S001,2026-05-03,13,Supervisor,1
S001,2026-05-03,14,Cashier,4
S001,2026-05-03,14,Floor,3
S001,2026-05-03,14,Stock,2
S001,2026-05-03,14,Customer Service,2
S001,2026-05-03,14,Supervisor,1
S001,2026-05-03,15,Cashier,4
S001,2026-05-03,15,Floor,3
S001,2026-05-03,15,Stock,2
S001,2026-05-03,15,Customer Service,2
S001,2026-05-03,15,Supervisor,1
S001,2026-05-03,16,Cashier,4
S001,2026-05-03,16,Floor,3
S001,2026-05-03,16,Stock,2
S001,2026-05-03,16,Customer Service,2
S001,2026-05-03,16,Supervisor,1
S001,2026-05-03,17,Cashier,6
S001,2026-05-03,17,Floor,4
S001,2026-05-03,17,Stock,2
S001,2026-05-03,17,Customer Service,3
S001,2026-05-03,17,Supervisor,1
S001,2026-05-03,18,Cashier,5
S001,2026-05-03,18,Floor,3
S001,2026-05-03,18,Stock,2
S001,2026-05-03,18,Customer Service,2
S001,2026-05-03,18,Supervisor,1
S001,2026-05-03,19,Cashier,5
S001,2026-05-03,19,Floor,3
S001,2026-05-03,19,Stock,2
S001,2026-05-03,19,Customer Service,2
S001,2026-05-03,19,Supervisor,1
S001,2026-05-03,20,Cashier,5
S001,2026-05-03,20,Floor,3
S001,2026-05-03,20,Stock,2
S001,2026-05-03,20,Customer Service,2
S001,2026-05-03,20,Supervisor,1
S001,2026-05-03,21,Cashier,3
S001,2026-05-03,21,Floor,2
S001,2026-05-03,21,Stock,1
S001,2026-05-03,21,Customer Service,2
S001,2026-05-03,21,Supervisor,1
S001,2026-05-03,22,Cashier,3
S001,2026-05-03,22,Floor,2
S001,2026-05-03,22,Stock,1
S001,2026-05-03,22,Customer Service,1
S001,2026-05-03,22,Supervisor,1
S001,2026-05-04,8,Cashier,2
S001,2026-05-04,8,Floor,2
S001,2026-05-04,8,Stock,1
S001,2026-05-04,8,Customer Service,1
S001,2026-05-04,8,Supervisor,1
S001,2026-05-04,9,Cashier,2
S001,2026-05-04,9,Floor,2
S001,2026-05-04,9,Stock,1
S001,2026-05-04,9,Customer Service,1
S001,2026-05-04,9,Supervisor,1
S001,2026-05-04,10,Cashier,3
S001,2026-05-04,10,Floor,2
S001,2026-05-04,10,Stock,1
S001,2026-05-04,10,Customer Service,1
S001,2026-05-04,10,Supervisor,1
S001,2026-05-04,11,Cashier,3
S001,2026-05-04,11,Floor,2
S001,2026-05-04,11,Stock,1
S001,2026-05-04,11,Customer Service,1
S001,2026-05-04,11,Supervisor,1
S001,2026-05-04,12,Cashier,3
S001,2026-05-04,12,Floor,2
S001,2026-05-04,12,Stock,1
S001,2026-05-04,12,Customer Service,1
S001,2026-05-04,12,Supervisor,1
S001,2026-05-04,13,Cashier,3
S001,2026-05-04,13,Floor,2
S001,2026-05-04,13,Stock,1
S001,2026-05-04,13,Customer Service,2
S001,2026-05-04,13,Supervisor,1
S001,2026-05-04,14,Cashier,3
S001,2026-05-04,14,Floor,2
S001,2026-05-04,14,Stock,1
S001,2026-05-04,14,Customer Service,2
S001,2026-05-04,14,Supervisor,1
S001,2026-05-04,15,Cashier,4
S001,2026-05-04,15,Floor,3
S001,2026-05-04,15,Stock,2
S001,2026-05-04,15,Customer Service,2
S001,2026-05-04,15,Supervisor,1
S001,2026-05-04,16,Cashier,3
S001,2026-05-04,16,Floor,2
S001,2026-05-04,16,Stock,1
S001,2026-05-04,16,Customer Service,2
S001,2026-05-04,16,Supervisor,1
S001,2026-05-04,17,Cashier,4
S001,2026-05-04,17,Floor,3
S001,2026-05-04,17,Stock,2
S001,2026-05-04,17,Customer Service,2
S001,2026-05-04,17,Supervisor,1
S001,2026-05-04,18,Cashier,4
S001,2026-05-04,18,Floor,3
S001,2026-05-04,18,Stock,2
S001,2026-05-04,18,Customer Service,2
S001,2026-05-04,18,Supervisor,1
S001,2026-05-04,19,Cashier,4
S001,2026-05-04,19,Floor,3
S001,2026-05-04,19,Stock,2
S001,2026-05-04,19,Customer Service,2
S001,2026-05-04,19,Supervisor,1
S001,2026-05-04,20,Cashier,4
S001,2026-05-04,20,Floor,3
S001,2026-05-04,20,Stock,2
S001,2026-05-04,20,Customer Service,2
S001,2026-05-04,20,Supervisor,1
S001,2026-05-04,21,Cashier,3
S001,2026-05-04,21,Floor,2
S001,2026-05-04,21,Stock,1
S001,2026-05-04,21,Customer Service,1
S001,2026-05-04,21,Supervisor,1
S001,2026-05-04,22,Cashier,2
S001,2026-05-04,22,Floor,2
S001,2026-05-04,22,Stock,1
S001,2026-05-04,22,Customer Service,1
S001,2026-05-04,22,Supervisor,1
S001,2026-05-05,8,Cashier,2
S001,2026-05-05,8,Floor,1
S001,2026-05-05,8,Stock,1
S001,2026-05-05,8,Customer Service,1
S001,2026-05-05,8,Supervisor,1
S001,2026-05-05,9,Cashier,2
S001,2026-05-05,9,Floor,2
S001,2026-05-05,9,Stock,1
S001,2026-05-05,9,Customer Service,1
S001,2026-05-05,9,Supervisor,1
S001,2026-05-05,10,Cashier,2
S001,2026-05-05,10,Floor,2
S001,2026-05-05,10,Stock,1
S001,2026-05-05,10,Customer Service,1
S001,2026-05-05,10,Supervisor,1
S001,2026-05-05,11,Cashier,3
S001,2026-05-05,11,Floor,2
S001,2026-05-05,11,Stock,1
S001,2026-05-05,11,Customer Service,1
S001,2026-05-05,11,Supervisor,1
S001,2026-05-05,12,Cashier,3
S001,2026-05-05,12,Floor,2
S001,2026-05-05,12,Stock,1
S001,2026-05-05,12,Customer Service,1
S001,2026-05-05,12,Supervisor,1
S001,2026-05-05,13,Cashier,3
S001,2026-05-05,13,Floor,2
S001,2026-05-05,13,Stock,1
S001,2026-05-05,13,Customer Service,2
S001,2026-05-05,13,Supervisor,1
S001,2026-05-05,14,Cashier,3
S001,2026-05-05,14,Floor,2
S001,2026-05-05,14,Stock,1
S001,2026-05-05,14,Customer Service,2
S001,2026-05-05,14,Supervisor,1
S001,2026-05-05,15,Cashier,3
S001,2026-05-05,15,Floor,2
S001,2026-05-05,15,Stock,1
S001,2026-05-05,15,Customer Service,2
S001,2026-05-05,15,Supervisor,1
S001,2026-05-05,16,Cashier,3
S001,2026-05-05,16,Floor,2
S001,2026-05-05,16,Stock,1
S001,2026-05-05,16,Customer Service,2
S001,2026-05-05,16,Supervisor,1
S001,2026-05-05,17,Cashier,4
S001,2026-05-05,17,Floor,3
S001,2026-05-05,17,Stock,2
S001,2026-05-05,17,Customer Service,2
S001,2026-05-05,17,Supervisor,1
S001,2026-05-05,18,Cashier,4
S001,2026-05-05,18,Floor,3
S001,2026-05-05,18,Stock,2
S001,2026-05-05,18,Customer Service,2
S001,2026-05-05,18,Supervisor,1
S001,2026-05-05,19,Cashier,4
S001,2026-05-05,19,Floor,3
S001,2026-05-05,19,Stock,2
S001,2026-05-05,19,Customer Service,2
S001,2026-05-05,19,Supervisor,1
S001,2026-05-05,20,Cashier,4
S001,2026-05-05,20,Floor,3
S001,2026-05-05,20,Stock,2
S001,2026-05-05,20,Customer Service,2
S001,2026-05-05,20,Supervisor,1
S001,2026-05-05,21,Cashier,2
S001,2026-05-05,21,Floor,2
S001,2026-05-05,21,Stock,1
S001,2026-05-05,21,Customer Service,1
S001,2026-05-05,21,Supervisor,1
S001,2026-05-05,22,Cashier,2
S001,2026-05-05,22,Floor,1
S001,2026-05-05,22,Stock,1
S001,2026-05-05,22,Customer Service,1
S001,2026-05-05,22,Supervisor,1
S001,2026-05-06,8,Cashier,2
S001,2026-05-06,8,Floor,2
S001,2026-05-06,8,Stock,1
S001,2026-05-06,8,Customer Service,1
S001,2026-05-06,8,Supervisor,1
S001,2026-05-06,9,Cashier,2
S001,2026-05-06,9,Floor,2
S001,2026-05-06,9,Stock,1
S001,2026-05-06,9,Customer Service,1
S001,2026-05-06,9,Supervisor,1
S001,2026-05-06,10,Cashier,2
S001,2026-05-06,10,Floor,2
S001,2026-05-06,10,Stock,1
S001,2026-05-06,10,Customer Service,1
S001,2026-05-06,10,Supervisor,1
S001,2026-05-06,11,Cashier,3
S001,2026-05-06,11,Floor,2
S001,2026-05-06,11,Stock,1
S001,2026-05-06,11,Customer Service,1
S001,2026-05-06,11,Supervisor,1
S001,2026-05-06,12,Cashier,3
S001,2026-05-06,12,Floor,2
S001,2026-05-06,12,Stock,1
S001,2026-05-06,12,Customer Service,1
S001,2026-05-06,12,Supervisor,1
S001,2026-05-06,13,Cashier,3
S001,2026-05-06,13,Floor,2
S001,2026-05-06,13,Stock,1
S001,2026-05-06,13,Customer Service,2
S001,2026-05-06,13,Supervisor,1
S001,2026-05-06,14,Cashier,3
S001,2026-05-06,14,Floor,2
S001,2026-05-06,14,Stock,1
S001,2026-05-06,14,Customer Service,2
S001,2026-05-06,14,Supervisor,1
S001,2026-05-06,15,Cashier,3
S001,2026-05-06,15,Floor,2
S001,2026-05-06,15,Stock,1
S001,2026-05-06,15,Customer Service,2
S001,2026-05-06,15,Supervisor,1
S001,2026-05-06,16,Cashier,3
S001,2026-05-06,16,Floor,2
S001,2026-05-06,16,Stock,1
S001,2026-05-06,16,Customer Service,2
S001,2026-05-06,16,Supervisor,1
S001,2026-05-06,17,Cashier,4
S001,2026-05-06,17,Floor,3
S001,2026-05-06,17,Stock,2
S001,2026-05-06,17,Customer Service,2
S001,2026-05-06,17,Supervisor,1
S001,2026-05-06,18,Cashier,4
S001,2026-05-06,18,Floor,3
S001,2026-05-06,18,Stock,2
S001,2026-05-06,18,Customer Service,2
S001,2026-05-06,18,Supervisor,1
S001,2026-05-06,19,Cashier,4
S001,2026-05-06,19,Floor,3
S001,2026-05-06,19,Stock,2
S001,2026-05-06,19,Customer Service,2
S001,2026-05-06,19,Supervisor,1
S001,2026-05-06,20,Cashier,4
S001,2026-05-06,20,Floor,3
S001,2026-05-06,20,Stock,2
S001,2026-05-06,20,Customer Service,2
S001,2026-05-06,20,Supervisor,1
S001,2026-05-06,21,Cashier,2
S001,2026-05-06,21,Floor,2
S001,2026-05-06,21,Stock,1
S001,2026-05-06,21,Customer Service,1
S001,2026-05-06,21,Supervisor,1
S001,2026-05-06,22,Cashier,2
S001,2026-05-06,22,Floor,2
S001,2026-05-06,22,Stock,1
S001,2026-05-06,22,Customer Service,1
S001,2026-05-06,22,Supervisor,1
S001,2026-05-07,8,Cashier,2
S001,2026-05-07,8,Floor,2
S001,2026-05-07,8,Stock,1
S001,2026-05-07,8,Customer Service,1
S001,2026-05-07,8,Supervisor,1
S001,2026-05-07,9,Cashier,2
S001,2026-05-07,9,Floor,2
S001,2026-05-07,9,Stock,1
S001,2026-05-07,9,Customer Service,1
S001,2026-05-07,9,Supervisor,1
S001,2026-05-07,10,Cashier,2
S001,2026-05-07,10,Floor,2
S001,2026-05-07,10,Stock,1
S001,2026-05-07,10,Customer Service,1
S001,2026-05-07,10,Supervisor,1
S001,2026-05-07,11,Cashier,3
S001,2026-05-07,11,Floor,2
S001,2026-05-07,11,Stock,1
S001,2026-05-07,11,Customer Service,1
S001,2026-05-07,11,Supervisor,1
S001,2026-05-07,12,Cashier,3
S001,2026-05-07,12,Floor,2
S001,2026-05-07,12,Stock,1
S001,2026-05-07,12,Customer Service,2
S001,2026-05-07,12,Supervisor,1
S001,2026-05-07,13,Cashier,3
S001,2026-05-07,13,Floor,2
S001,2026-05-07,13,Stock,1
S001,2026-05-07,13,Customer Service,2
S001,2026-05-07,13,Supervisor,1
S001,2026-05-07,14,Cashier,3
S001,2026-05-07,14,Floor,2
S001,2026-05-07,14,Stock,1
S001,2026-05-07,14,Customer Service,2
S001,2026-05-07,14,Supervisor,1
S001,2026-05-07,15,Cashier,3
S001,2026-05-07,15,Floor,2
S001,2026-05-07,15,Stock,1
S001,2026-05-07,15,Customer Service,2
S001,2026-05-07,15,Supervisor,1
S001,2026-05-07,16,Cashier,3
S001,2026-05-07,16,Floor,2
S001,2026-05-07,16,Stock,1
S001,2026-05-07,16,Customer Service,2
S001,2026-05-07,16,Supervisor,1
S001,2026-05-07,17,Cashier,4
