employee_id,duration,store_id,overtime_hours,regular_hours,total_labor_cost_mxn
E00001,6,S001,0,6,420.0
E00002,30,S001,0,30,2550.0
E00003,6,S001,0,6,450.0
E00004,11,S001,0,11,770.0
E00006,35,S001,0,35,2625.0
E00008,16,S001,0,16,1040.0
E00009,6,S001,0,6,390.0
E00011,40,S001,0,40,3000.0
E00012,16,S001,0,16,1040.0
E00013,5,S001,0,5,350.0
E00014,8,S001,0,8,960.0
E00015,16,S001,0,16,1200.0
E00017,21,S001,0,21,1575.0
E00018,22,S001,0,22,1650.0
E00019,6,S001,0,6,390.0
E00022,14,S001,0,14,980.0
E00026,8,S001,0,8,520.0
E00028,18,S001,0,18,1170.0
E00030,20,S001,0,20,1500.0
E00031,13,S001,0,13,910.0
E00032,22,S001,0,22,1540.0
E00033,8,S001,0,8,600.0
E00034,30,S001,0,30,2100.0
E00035,21,S001,0,21,1575.0
E00036,6,S001,0,6,390.0
E00038,38,S001,0,38,3230.0
E00039,25,S001,0,25,1875.0
E00040,30,S001,0,30,2250.0
E00041,16,S001,0,16,1200.0
E00042,8,S001,0,8,960.0
E00043,36,S001,0,36,2520.0
E00044,39,S001,0,39,3315.0
E00047,5,S001,0,5,375.0
E00048,21,S001,0,21,1575.0
E00049,16,S001,0,16,1920.0
E00050,8,S001,0,8,560.0
E00051,21,S001,0,21,1575.0
E00052,16,S001,0,16,1920.0
E00053,24,S001,0,24,1680.0
E00054,8,S001,0,8,520.0
E00055,30,S001,0,30,1950.0
E00058,16,S001,0,16,1120.0
E00059,32,S001,0,32,2720.0
E00060,5,S001,0,5,325.0
E00061,12,S001,0,12,840.0
E00062,24,S001,0,24,2880.0
E00064,11,S001,0,11,715.0
E00065,13,S001,0,13,910.0
E00067,20,S001,0,20,1300.0
E00068,12,S001,0,12,840.0
E00069,22,S001,0,22,1540.0
E00070,24,S001,0,24,2880.0
E00071,16,S001,0,16,1920.0
E00073,10,S001,0,10,650.0
E00074,32,S001,0,32,2400.0
E00075,8,S001,0,8,672.0
E00076,24,S001,0,24,1680.0
E00078,38,S001,0,38,3230.0
E00079,30,S001,0,30,2250.0
E00080,24,S001,0,24,2040.0
E00082,6,S002,0,6,390.0
E00083,8,S002,0,8,520.0
E00086,11,S002,0,11,715.0
E00087,40,S002,0,40,4800.0
E00088,12,S002,0,12,780.0
E00089,6,S002,0,6,450.0
E00090,8,S002,0,8,520.0
E00092,12,S002,0,12,900.0
E00093,10,S002,0,10,700.0
E00094,8,S002,0,8,520.0
E00095,28,S002,0,28,2380.0
E00096,6,S002,0,6,390.0
E00097,16,S002,0,16,1360.0
E00099,24,S002,0,24,1800.0
E00100,12,S002,0,12,840.0
E00102,8,S002,0,8,560.0
E00104,21,S002,0,21,1785.0
E00105,6,S002,0,6,390.0
E00107,8,S002,0,8,560.0
E00108,40,S002,0,40,4800.0
E00109,18,S002,0,18,1350.0
E00110,20,S002,0,20,1700.0
E00111,27,S002,0,27,1890.0
E00113,8,S002,0,8,560.0
E00114,24,S002,0,24,1680.0
E00116,24,S002,0,24,1560.0
E00118,5,S002,0,5,375.0
E00119,32,S002,0,32,3840.0
E00120,8,S002,0,8,520.0
E00122,6,S002,0,6,450.0
E00123,5,S002,0,5,375.0
E00124,6,S002,0,6,450.0
E00128,16,S002,0,16,1200.0
E00129,30,S002,0,30,2250.0
E00130,8,S002,0,8,560.0
E00132,13,S002,0,13,910.0
E00133,22,S002,0,22,1650.0
E00136,6,S002,0,6,510.0
E00138,6,S002,0,6,450.0
E00140,6,S002,0,6,450.0
E00142,5,S002,0,5,375.0
E00143,16,S002,0,16,1254.4
E00144,26,S002,0,26,2210.0
E00145,14,S002,0,14,1050.0
E00147,5,S002,0,5,425.0
E00148,17,S002,0,17,1190.0
E00151,28,S002,0,28,2100.0
E00152,16,S002,0,16,1200.0
E00153,21,S002,0,21,1575.0
E00154,12,S002,0,12,840.0
E00155,8,S002,0,8,560.0
E00157,6,S002,0,6,510.0
E00158,13,S002,0,13,910.0
E00159,6,S002,0,6,420.0
E00160,6,S002,0,6,390.0
E00161,8,S003,0,8,600.0
E00163,14,S003,0,14,1050.0
E00165,22,S003,0,22,1540.0
E00167,16,S003,0,16,1040.0
E00168,27,S003,0,27,2025.0
E00169,8,S003,0,8,520.0
E00170,13,S003,0,13,975.0
E00171,5,S003,0,5,350.0
E00172,40,S003,0,40,4800.0
E00173,8,S003,0,8,520.0
E00176,16,S003,0,16,1040.0
E00177,24,S003,0,24,2040.0
E00178,8,S003,0,8,600.0
E00180,11,S003,0,11,715.0
E00182,25,S003,0,25,2125.0
E00183,6,S003,0,6,450.0
E00184,5,S003,0,5,325.0
E00185,40,S003,0,40,4800.0
E00188,32,S003,0,32,3840.0
E00189,14,S003,0,14,980.0
E00193,8,S003,0,8,560.0
E00194,5,S003,0,5,375.0
E00195,19,S003,0,19,1330.0
E00196,17,S003,0,17,1275.0
E00197,21,S003,0,21,1470.0
E00198,35,S003,0,35,2625.0
E00199,6,S003,0,6,390.0
E00202,12,S003,0,12,840.0
E00203,19,S003,0,19,1330.0
E00204,14,S003,0,14,980.0
E00206,11,S003,0,11,770.0
E00209,30,S003,0,30,2250.0
E00210,24,S003,0,24,2040.0
E00211,32,S003,0,32,2400.0
E00212,22,S003,0,22,1540.0
E00214,10,S003,0,10,700.0
E00215,19,S003,0,19,1425.0
E00218,22,S003,0,22,1540.0
E00221,11,S003,0,11,770.0
E00223,11,S003,0,11,825.0
E00224,28,S003,0,28,2100.0
E00226,30,S003,0,30,2550.0
E00228,8,S003,0,8,520.0
E00230,5,S003,0,5,325.0
E00231,16,S003,0,16,1120.0
E00232,20,S003,0,20,1300.0
E00233,6,S003,0,6,390.0
E00234,30,S003,0,30,2550.0
E00235,8,S003,0,8,600.0
E00236,17,S003,0,17,1105.0
E00237,14,S003,0,14,1050.0
E00238,22,S003,0,22,1650.0
E00240,26,S003,0,26,2210.0
E00241,16,S004,0,16,1120.0
E00242,16,S004,0,16,1200.0
E00243,5,S004,0,5,375.0
E00245,8,S004,0,8,600.0
E00246,8,S004,0,8,680.0
E00247,32,S004,0,32,3840.0
E00248,24,S004,0,24,2880.0
E00249,32,S004,0,32,2080.0
E00250,16,S004,0,16,1920.0
E00251,20,S004,0,20,1500.0
E00253,10,S004,0,10,700.0
E00254,5,S004,0,5,375.0
E00256,14,S004,0,14,980.0
E00257,13,S004,0,13,910.0
E00258,24,S004,0,24,2040.0
E00259,14,S004,0,14,980.0
E00261,21,S004,0,21,1575.0
E00263,12,S004,0,12,780.0
E00267,24,S004,0,24,1560.0
E00268,8,S004,0,8,960.0
E00271,13,S004,0,13,910.0
E00272,8,S004,0,8,960.0
E00275,16,S004,0,16,1120.0
E00276,6,S004,0,6,450.0
E00277,10,S004,0,10,750.0
E00278,14,S004,0,14,1050.0
E00279,8,S004,0,8,960.0
E00280,16,S004,0,16,1200.0
E00282,22,S004,0,22,1870.0
E00283,14,S004,0,14,1050.0
E00284,6,S004,0,6,450.0
E00285,6,S004,0,6,450.0
E00286,22,S004,0,22,1870.0
E00288,8,S004,0,8,960.0
E00289,11,S004,0,11,825.0
E00291,16,S004,0,16,1200.0
E00292,14,S004,0,14,1050.0
E00293,12,S004,0,12,840.0
E00295,10,S004,0,10,700.0
E00296,20,S004,0,20,1400.0
E00297,16,S004,0,16,1200.0
E00298,14,S004,0,14,1050.0
E00299,5,S004,0,5,350.0
E00301,21,S004,0,21,1785.0
E00302,16,S004,0,16,1040.0
E00303,6,S004,0,6,390.0
E00304,24,S004,0,24,1680.0
E00305,6,S004,0,6,390.0
E00307,14,S004,0,14,1050.0
E00309,6,S004,0,6,390.0
E00310,8,S004,0,8,960.0
E00311,6,S004,0,6,390.0
E00312,5,S004,0,5,375.0
E00315,18,S004,0,18,1350.0
E00318,12,S004,0,12,840.0
E00320,29,S004,0,29,2465.0
E00321,13,S005,0,13,910.0
E00322,8,S005,0,8,600.0
E00323,32,S005,0,32,2400.0
E00324,5,S005,0,5,375.0
E00325,11,S005,0,11,825.0
E00326,5,S005,0,5,325.0
E00327,8,S005,0,8,600.0
E00331,5,S005,0,5,325.0
E00332,21,S005,0,21,1470.0
E00333,16,S005,0,16,1920.0
E00336,24,S005,0,24,1560.0
E00337,16,S005,0,16,1040.0
E00339,16,S005,0,16,1200.0
E00340,8,S005,0,8,600.0
E00343,8,S005,0,8,560.0
E00345,27,S005,0,27,2295.0
E00346,11,S005,0,11,770.0
E00347,8,S005,0,8,520.0
E00348,6,S005,0,6,390.0
E00351,6,S005,0,6,390.0
E00352,6,S005,0,6,450.0
E00353,16,S005,0,16,1360.0
E00355,20,S005,0,20,1500.0
E00356,14,S005,0,14,1190.0
E00357,10,S005,0,10,750.0
E00358,24,S005,0,24,1680.0
E00359,8,S005,0,8,600.0
E00360,8,S005,0,8,960.0
E00362,16,S005,0,16,1360.0
E00363,8,S005,0,8,600.0
E00364,19,S005,0,19,1330.0
E00365,6,S005,0,6,450.0
E00366,5,S005,0,5,375.0
E00367,13,S005,0,13,1105.0
E00369,20,S005,0,20,1400.0
E00370,24,S005,0,24,1680.0
E00371,5,S005,0,5,375.0
E00372,16,S005,0,16,1920.0
E00373,6,S005,0,6,390.0
E00374,8,S005,0,8,680.0
E00375,16,S005,0,16,1200.0
E00377,8,S005,0,8,520.0
E00379,27,S005,0,27,2025.0
E00380,16,S005,0,16,1920.0
E00382,8,S005,0,8,520.0
E00383,16,S005,0,16,1920.0
E00384,19,S005,0,19,1425.0
E00385,14,S005,0,14,910.0
E00386,8,S005,0,8,560.0
E00387,14,S005,0,14,1050.0
E00388,5,S005,0,5,375.0
E00389,6,S005,0,6,510.0
E00390,13,S005,0,13,910.0
E00391,18,S005,0,18,1260.0
E00392,5,S005,0,5,350.0
E00393,32,S005,0,32,3840.0
E00394,8,S005,0,8,960.0
E00395,22,S005,0,22,1870.0
E00396,14,S005,0,14,910.0
E00397,6,S005,0,6,510.0
E00398,29,S005,0,29,2175.0
E00399,6,S005,0,6,450.0
E00400,5,S005,0,5,375.0
E00402,16,S006,0,16,1920.0
