employee_id,duration,store_id,role,total_hours,overtime_hours,regular_hours,total_labor_cost_mxn
E00001,29,S001,Floor,29,0,29,2030.0
E00002,40,S001,Customer Service,40,0,40,3400.0
E00003,39,S001,Cashier,39,0,39,2925.0
E00004,18,S001,Floor,18,0,18,1260.0
E00005,6,S001,Stock,6,0,6,390.0
E00006,40,S001,Cashier,40,0,40,3000.0
E00008,16,S001,Stock,16,0,16,1040.0
E00009,14,S001,Stock,14,0,14,910.0
E00010,12,S001,Stock,12,0,12,780.0
E00011,28,S001,Cashier,28,0,28,2100.0
E00012,17,S001,Stock,17,0,17,1105.0
E00013,19,S001,Floor,19,0,19,1330.0
E00014,16,S001,Supervisor,16,0,16,1920.0
E00015,40,S001,Cashier,40,0,40,3000.0
E00017,38,S001,Cashier,38,0,38,2850.0
E00018,36,S001,Cashier,36,0,36,2700.0
E00019,10,S001,Stock,10,0,10,650.0
E00020,5,S001,Stock,5,0,5,325.0
E00021,10,S001,Stock,10,0,10,650.0
E00022,37,S001,Floor,37,0,37,2590.0
E00023,21,S001,Stock,21,0,21,1365.0
E00025,8,S001,Stock,8,0,8,520.0
E00026,22,S001,Stock,22,0,22,1430.0
E00027,22,S001,Floor,22,0,22,1540.0
E00028,14,S001,Stock,14,0,14,910.0
E00029,5,S001,Stock,5,0,5,325.0
E00030,36,S001,Cashier,36,0,36,2700.0
E00031,39,S001,Floor,39,0,39,2730.0
E00032,39,S001,Floor,39,0,39,2730.0
E00033,39,S001,Cashier,39,0,39,2925.0
E00034,24,S001,Floor,24,0,24,1680.0
E00035,36,S001,Cashier,36,0,36,2700.0
E00036,13,S001,Stock,13,0,13,845.0
E00037,30,S001,Floor,30,0,30,2100.0
E00038,40,S001,Customer Service,40,0,40,3400.0
E00039,39,S001,Cashier,39,0,39,2925.0
E00040,35,S001,Cashier,35,0,35,2625.0
E00041,34,S001,Cashier,34,0,34,2550.0
E00042,40,S001,Supervisor,40,0,40,4800.0
E00043,37,S001,Floor,37,0,37,2590.0
E00044,40,S001,Customer Service,40,0,40,3400.0
E00047,40,S001,Cashier,40,0,40,3000.0
E00048,40,S001,Cashier,40,0,40,3000.0
E00049,40,S001,Supervisor,40,0,40,4800.0
E00050,25,S001,Floor,25,0,25,1750.0
E00051,37,S001,Cashier,37,0,37,2775.0
E00052,40,S001,Supervisor,40,0,40,4800.0
E00053,24,S001,Floor,24,0,24,1680.0
E00054,14,S001,Stock,14,0,14,910.0
E00056,38,S001,Floor,38,0,38,2660.0
E00057,19,S001,Stock,19,0,19,1235.0
E00058,37,S001,Floor,37,0,37,2590.0
E00059,40,S001,Customer Service,40,0,40,3400.0
E00060,19,S001,Stock,19,0,19,1235.0
E00061,29,S001,Floor,29,0,29,2030.0
E00062,40,S001,Supervisor,40,0,40,4800.0
E00063,10,S001,Floor,10,0,10,784.0
E00064,5,S001,Stock,5,0,5,325.0
E00065,16,S001,Floor,16,0,16,1120.0
E00066,18,S001,Stock,18,0,18,1170.0
E00067,27,S001,Stock,27,0,27,1755.0
E00068,11,S001,Floor,11,0,11,770.0
E00069,38,S001,Floor,38,0,38,2660.0
E00070,40,S001,Supervisor,40,0,40,4800.0
E00071,24,S001,Supervisor,24,0,24,2880.0
E00073,15,S001,Stock,15,0,15,975.0
E00074,36,S001,Cashier,36,0,36,2700.0
E00076,27,S001,Floor,27,0,27,1890.0
E00078,40,S001,Customer Service,40,0,40,3400.0
E00079,31,S001,Cashier,31,0,31,2325.0
E00080,39,S001,Customer Service,39,0,39,3315.0
E00082,6,S002,Stock,6,0,6,390.0
E00084,5,S002,Floor,5,0,5,350.0
E00086,12,S002,Stock,12,0,12,780.0
E00087,40,S002,Supervisor,40,0,40,4800.0
E00088,10,S002,Stock,10,0,10,650.0
E00090,6,S002,Stock,6,0,6,390.0
E00091,6,S002,Floor,6,0,6,420.0
E00093,18,S002,Floor,18,0,18,1260.0
E00094,5,S002,Stock,5,0,5,325.0
E00095,21,S002,Customer Service,21,0,21,1785.0
E00096,11,S002,Stock,11,0,11,715.0
E00097,16,S002,Customer Service,16,0,16,1360.0
E00098,5,S002,Cashier,5,0,5,375.0
E00102,12,S002,Floor,12,0,12,840.0
E00103,27,S002,Cashier,27,0,27,2025.0
E00104,15,S002,Customer Service,15,0,15,1275.0
E00106,5,S002,Stock,5,0,5,325.0
E00107,25,S002,Floor,25,0,25,1750.0
E00108,40,S002,Supervisor,40,0,40,4800.0
E00109,5,S002,Cashier,5,0,5,375.0
E00110,34,S002,Customer Service,34,0,34,2890.0
E00111,21,S002,Floor,21,0,21,1470.0
E00112,8,S002,Stock,8,0,8,520.0
E00113,14,S002,Floor,14,0,14,980.0
E00114,17,S002,Floor,17,0,17,1190.0
E00115,10,S002,Stock,10,0,10,650.0
E00116,8,S002,Stock,8,0,8,520.0
E00118,8,S002,Cashier,8,0,8,600.0
E00119,40,S002,Supervisor,40,0,40,4800.0
E00120,8,S002,Stock,8,0,8,520.0
E00122,10,S002,Cashier,10,0,10,750.0
E00123,21,S002,Cashier,21,0,21,1575.0
E00124,6,S002,Cashier,6,0,6,450.0
E00125,22,S002,Floor,22,0,22,1540.0
E00126,13,S002,Cashier,13,0,13,975.0
E00127,8,S002,Stock,8,0,8,520.0
E00128,19,S002,Cashier,19,0,19,1425.0
E00129,21,S002,Cashier,21,0,21,1575.0
E00130,8,S002,Floor,8,0,8,560.0
E00133,13,S002,Cashier,13,0,13,975.0
E00134,16,S002,Customer Service,16,0,16,1360.0
E00135,6,S002,Floor,6,0,6,420.0
E00136,17,S002,Customer Service,17,0,17,1445.0
E00137,19,S002,Stock,19,0,19,1235.0
E00138,11,S002,Cashier,11,0,11,825.0
E00139,24,S002,Floor,24,0,24,1680.0
E00140,23,S002,Cashier,23,0,23,1725.0
E00141,14,S002,Cashier,14,0,14,1050.0
E00142,16,S002,Cashier,16,0,16,1200.0
