store_id,city,format,open_hour,close_hour,required_staff,scheduled_staff,understaffed,overstaffed,total_labor_cost_mxn,labor_utilization_pct
S001,Tijuana,Large,8,22,1077,1118.0,51.0,92.0,88032.0,96.33273703041145
S002,Puebla,Small,8,22,750,779.0,40.0,69.0,62899.4,96.27727856225931
S003,Guadalajara,Medium,8,22,869,920.0,43.0,94.0,73240.0,94.45652173913044
S004,Queretaro,Small,8,22,750,780.0,41.0,71.0,62825.0,96.15384615384616
S005,Guadalajara,Small,8,22,755,821.0,40.0,106.0,65775.0,91.96102314250913
S006,Cancun,Small,8,22,738,764.0,40.0,66.0,61570.0,96.59685863874346
S007,Cancun,Large,8,22,1133,1205.0,53.0,125.0,94695.0,94.02489626556016
S008,Merida,Medium,8,22,927,993.0,45.0,111.0,78345.0,93.35347432024169
S009,Queretaro,Medium,8,22,925,1034.0,46.0,155.0,82283.8,89.45841392649903
S010,Monterrey,Large,8,22,1093,1141.0,52.0,100.0,89965.0,95.7931638913234
S011,Cancun,Large,8,22,1112,1183.0,52.0,123.0,93330.0,93.99830938292477
S012,Monterrey,Large,8,22,1169,1234.0,54.0,119.0,96935.0,94.73257698541329
S013,Cancun,Large,8,22,1107,1162.0,54.0,109.0,90950.0,95.26678141135973
S014,Queretaro,Large,8,22,1160,1226.0,54.0,120.0,96025.0,94.61663947797716
S015,Puebla,Large,8,22,1156,1218.0,58.0,120.0,96005.0,94.90968801313629
S016,Queretaro,Medium,8,22,914,971.0,47.0,104.0,76940.4,94.129763130793
S017,Merida,Small,8,22,734,780.0,40.0,86.0,62834.0,94.1025641025641
S018,Cancun,Large,8,22,1150,1217.0,56.0,123.0,95310.0,94.49465899753491
S019,Cancun,Large,8,22,1137,1199.0,53.0,115.0,94095.0,94.82902418682235
S020,Cancun,Large,8,22,1172,1236.0,54.0,118.0,97330.0,94.8220064724919
S021,Queretaro,Medium,8,22,908,1019.0,50.0,161.0,81322.4,89.10696761530913
S022,Monterrey,Small,8,22,726,802.0,50.0,126.0,64802.4,90.52369077306733
S023,Queretaro,Small,8,22,756,791.0,40.0,75.0,63601.6,95.57522123893806
S024,Tijuana,Large,8,22,1156,1222.0,54.0,120.0,96349.0,94.59901800327333
S025,Merida,Large,8,22,1127,1181.0,53.0,107.0,92850.0,95.42760372565621
S026,Guadalajara,Medium,8,22,912,986.0,46.0,120.0,78015.8,92.49492900608519
S027,Merida,Large,8,22,1103,1137.0,52.0,86.0,89255.0,97.00967458223396
S028,Cancun,Medium,8,22,898,942.0,45.0,89.0,74835.0,95.32908704883228
S029,Guadalajara,Small,8,22,758,796.0,41.0,79.0,64259.2,95.22613065326632
S030,Monterrey,Small,8,22,744,798.0,38.0,92.0,64332.0,93.23308270676691
S031,Guadalajara,Large,8,22,1102,1083.0,112.0,93.0,84884.0,101.75438596491229
S032,Guadalajara,Small,8,22,758,804.0,42.0,88.0,64665.0,94.27860696517413
S033,Tijuana,Medium,8,22,886,955.0,46.0,115.0,75998.6,92.77486910994764
S034,Puebla,Large,8,22,1148,1208.0,56.0,116.0,95220.0,95.03311258278146
S035,Cancun,Medium,8,22,936,950.0,86.0,100.0,74895.0,98.52631578947368
S036,Tijuana,Small,8,22,729,815.0,38.0,124.0,65880.6,89.4478527607362
S037,Guadalajara,Large,8,22,1074,1224.0,64.0,214.0,97020.6,87.74509803921569
S038,Monterrey,Small,8,22,760,827.0,45.0,112.0,66504.0,91.89842805320436
S039,Tijuana,Small,8,22,748,860.0,54.0,166.0,69441.0,86.9767441860465
S041,CDMX,Medium,8,22,938,1009.0,54.0,125.0,79280.0,92.9633300297324
S042,Monterrey,Small,8,22,748,867.0,41.0,160.0,69793.4,86.27450980392157
S043,Guadalajara,Medium,8,22,932,1021.0,46.0,135.0,80722.2,91.28305582761999
S044,Guadalajara,Medium,8,22,922,1137.0,46.0,261.0,90251.4,81.09058927000879
S045,Merida,Large,8,22,1150,1230.0,54.0,134.0,96470.0,93.4959349593496
S046,Queretaro,Medium,8,22,923,943.0,76.0,96.0,74676.4,97.87910922587487
S047,CDMX,Medium,8,22,928,970.0,45.0,87.0,76830.0,95.6701030927835
S048,Tijuana,Medium,8,22,897,948.0,47.0,98.0,75424.6,94.62025316455697
S049,Merida,Medium,8,22,927,1002.0,56.0,131.0,79647.4,92.51497005988024
S050,CDMX,Large,8,22,1167,1244.0,53.0,130.0,97800.0,93.81028938906752
