store_id,employee_id,assigned_role,date,shift_start,shift_end,duration
S001,E00001,Floor,2026-05-03,16,22,6
S001,E00002,Customer Service,2026-05-04,8,16,8
S001,E00002,Customer Service,2026-05-05,16,22,6
S001,E00002,Customer Service,2026-05-07,10,18,8
S001,E00002,Customer Service,2026-05-09,8,16,8
S001,E00003,Cashier,2026-05-08,16,22,6
S001,E00004,Floor,2026-05-06,16,22,6
S001,E00004,Floor,2026-05-08,17,22,5
S001,E00006,Cashier,2026-05-03,17,22,5
S001,E00006,Cashier,2026-05-04,17,22,5
S001,E00006,Cashier,2026-05-05,16,22,6
S001,E00006,Cashier,2026-05-06,16,22,6
S001,E00006,Cashier,2026-05-08,8,16,8
S001,E00006,Cashier,2026-05-09,17,22,5
S001,E00008,Stock,2026-05-03,8,16,8
S001,E00008,Stock,2026-05-09,8,16,8
S001,E00009,Stock,2026-05-09,16,22,6
S001,E00011,Cashier,2026-05-04,8,16,8
S001,E00011,Cashier,2026-05-06,8,16,8
S001,E00011,Cashier,2026-05-07,8,16,8
S001,E00011,Cashier,2026-05-08,8,16,8
S001,E00011,Cashier,2026-05-09,8,16,8
S001,E00012,Stock,2026-05-04,14,22,8
S001,E00012,Stock,2026-05-08,8,16,8
S001,E00013,Floor,2026-05-03,17,22,5
S001,E00014,Supervisor,2026-05-03,8,16,8
S001,E00015,Cashier,2026-05-03,16,22,6
S001,E00015,Cashier,2026-05-06,17,22,5
S001,E00015,Cashier,2026-05-08,17,22,5
S001,E00017,Cashier,2026-05-03,8,16,8
S001,E00017,Cashier,2026-05-04,17,22,5
S001,E00017,Cashier,2026-05-07,10,18,8
S001,E00018,Cashier,2026-05-03,8,16,8
S001,E00018,Cashier,2026-05-05,8,16,8
S001,E00018,Cashier,2026-05-07,16,22,6
S001,E00019,Stock,2026-05-05,16,22,6
S001,E00022,Floor,2026-05-04,14,22,8
S001,E00022,Floor,2026-05-08,16,22,6
S001,E00026,Stock,2026-05-07,8,16,8
S001,E00028,Stock,2026-05-03,17,22,5
S001,E00028,Stock,2026-05-04,17,22,5
S001,E00028,Stock,2026-05-09,8,16,8
S001,E00030,Cashier,2026-05-03,16,22,6
S001,E00030,Cashier,2026-05-04,16,22,6
S001,E00030,Cashier,2026-05-06,10,18,8
S001,E00031,Floor,2026-05-03,12,20,8
S001,E00031,Floor,2026-05-07,17,22,5
S001,E00032,Floor,2026-05-05,8,16,8
S001,E00032,Floor,2026-05-06,8,16,8
S001,E00032,Floor,2026-05-09,16,22,6
S001,E00033,Cashier,2026-05-04,14,22,8
S001,E00034,Floor,2026-05-04,16,22,6
S001,E00034,Floor,2026-05-07,8,16,8
S001,E00034,Floor,2026-05-08,8,16,8
S001,E00034,Floor,2026-05-09,8,16,8
S001,E00035,Cashier,2026-05-07,17,22,5
S001,E00035,Cashier,2026-05-08,10,18,8
S001,E00035,Cashier,2026-05-09,8,16,8
S001,E00036,Stock,2026-05-03,16,22,6
S001,E00038,Customer Service,2026-05-03,8,16,8
S001,E00038,Customer Service,2026-05-04,16,22,6
S001,E00038,Customer Service,2026-05-05,12,20,8
S001,E00038,Customer Service,2026-05-08,8,16,8
S001,E00038,Customer Service,2026-05-09,8,16,8
S001,E00039,Cashier,2026-05-03,12,20,8
S001,E00039,Cashier,2026-05-05,17,22,5
S001,E00039,Cashier,2026-05-07,16,22,6
S001,E00039,Cashier,2026-05-09,16,22,6
S001,E00040,Cashier,2026-05-03,16,22,6
S001,E00040,Cashier,2026-05-05,8,16,8
S001,E00040,Cashier,2026-05-08,8,16,8
S001,E00040,Cashier,2026-05-09,12,20,8
S001,E00041,Cashier,2026-05-05,17,22,5
S001,E00041,Cashier,2026-05-08,17,22,5
S001,E00041,Cashier,2026-05-09,16,22,6
S001,E00042,Supervisor,2026-05-04,14,22,8
S001,E00043,Floor,2026-05-03,8,16,8
S001,E00043,Floor,2026-05-04,8,16,8
S001,E00043,Floor,2026-05-05,16,22,6
S001,E00043,Floor,2026-05-06,16,22,6
S001,E00043,Floor,2026-05-09,8,16,8
S001,E00044,Customer Service,2026-05-03,10,18,8
S001,E00044,Customer Service,2026-05-04,17,22,5
S001,E00044,Customer Service,2026-05-06,8,16,8
S001,E00044,Customer Service,2026-05-07,16,22,6
S001,E00044,Customer Service,2026-05-08,16,22,6
S001,E00044,Customer Service,2026-05-09,16,22,6
S001,E00047,Cashier,2026-05-06,17,22,5
S001,E00048,Cashier,2026-05-03,17,22,5
S001,E00048,Cashier,2026-05-07,8,16,8
S001,E00048,Cashier,2026-05-09,8,16,8
S001,E00049,Supervisor,2026-05-04,8,16,8
S001,E00049,Supervisor,2026-05-05,14,22,8
S001,E00050,Floor,2026-05-04,8,16,8
S001,E00051,Cashier,2026-05-05,10,18,8
S001,E00051,Cashier,2026-05-06,8,16,8
S001,E00051,Cashier,2026-05-07,17,22,5
S001,E00052,Supervisor,2026-05-06,8,16,8
S001,E00052,Supervisor,2026-05-09,14,22,8
S001,E00053,Floor,2026-05-04,17,22,5
S001,E00053,Floor,2026-05-06,8,16,8
S001,E00053,Floor,2026-05-08,17,22,5
S001,E00053,Floor,2026-05-09,16,22,6
S001,E00054,Stock,2026-05-06,8,16,8
S001,E00055,Stock,2026-05-04,8,16,8
S001,E00055,Stock,2026-05-05,8,16,8
S001,E00055,Stock,2026-05-06,16,22,6
S001,E00055,Stock,2026-05-08,10,18,8
S001,E00058,Floor,2026-05-08,10,18,8
S001,E00058,Floor,2026-05-09,8,16,8
S001,E00059,Customer Service,2026-05-03,17,22,5
S001,E00059,Customer Service,2026-05-04,12,20,8
S001,E00059,Customer Service,2026-05-06,16,22,6
S001,E00059,Customer Service,2026-05-08,8,16,8
S001,E00059,Customer Service,2026-05-09,17,22,5
S001,E00060,Stock,2026-05-07,17,22,5
S001,E00061,Floor,2026-05-07,16,22,6
S001,E00061,Floor,2026-05-08,16,22,6
S001,E00062,Supervisor,2026-05-05,8,16,8
S001,E00062,Supervisor,2026-05-07,14,22,8
S001,E00062,Supervisor,2026-05-08,14,22,8
S001,E00064,Stock,2026-05-05,17,22,5
S001,E00064,Stock,2026-05-08,16,22,6
S001,E00065,Floor,2026-05-05,8,16,8
S001,E00065,Floor,2026-05-06,17,22,5
S001,E00067,Stock,2026-05-03,12,20,8
S001,E00067,Stock,2026-05-07,16,22,6
S001,E00067,Stock,2026-05-09,16,22,6
S001,E00068,Floor,2026-05-07,16,22,6
S001,E00068,Floor,2026-05-09,16,22,6
S001,E00069,Floor,2026-05-03,8,16,8
S001,E00069,Floor,2026-05-05,16,22,6
S001,E00069,Floor,2026-05-07,8,16,8
S001,E00070,Supervisor,2026-05-03,14,22,8
S001,E00070,Supervisor,2026-05-07,8,16,8
S001,E00070,Supervisor,2026-05-08,8,16,8
S001,E00071,Supervisor,2026-05-06,14,22,8
S001,E00071,Supervisor,2026-05-09,8,16,8
S001,E00073,Stock,2026-05-06,17,22,5
S001,E00073,Stock,2026-05-08,17,22,5
S001,E00074,Cashier,2026-05-04,10,18,8
S001,E00074,Cashier,2026-05-05,16,22,6
S001,E00074,Cashier,2026-05-06,16,22,6
S001,E00074,Cashier,2026-05-08,16,22,6
S001,E00074,Cashier,2026-05-09,16,22,6
S001,E00075,Cashier,2026-05-09,8,16,8
S001,E00076,Floor,2026-05-03,16,22,6
S001,E00076,Floor,2026-05-05,17,22,5
S001,E00076,Floor,2026-05-08,8,16,8
S001,E00076,Floor,2026-05-09,17,22,5
S001,E00078,Customer Service,2026-05-03,16,22,6
S001,E00078,Customer Service,2026-05-05,17,22,5
S001,E00078,Customer Service,2026-05-06,12,20,8
S001,E00078,Customer Service,2026-05-07,8,16,8
S001,E00078,Customer Service,2026-05-08,17,22,5
S001,E00078,Customer Service,2026-05-09,16,22,6
S001,E00079,Cashier,2026-05-03,8,16,8
S001,E00079,Cashier,2026-05-04,8,16,8
S001,E00079,Cashier,2026-05-08,14,22,8
S001,E00079,Cashier,2026-05-09,16,22,6
S001,E00080,Customer Service,2026-05-05,8,16,8
S001,E00080,Customer Service,2026-05-06,17,22,5
S001,E00080,Customer Service,2026-05-07,17,22,5
S001,E00080,Customer Service,2026-05-08,16,22,6
S002,E00082,Stock,2026-05-07,16,22,6
S002,E00083,Stock,2026-05-04,8,16,8
S002,E00086,Stock,2026-05-04,16,22,6
S002,E00086,Stock,2026-05-09,17,22,5
S002,E00087,Supervisor,2026-05-04,8,16,8
S002,E00087,Supervisor,2026-05-05,8,16,8
S002,E00087,Supervisor,2026-05-07,14,22,8
S002,E00087,Supervisor,2026-05-08,14,22,8
S002,E00087,Supervisor,2026-05-09,14,22,8
S002,E00088,Stock,2026-05-06,16,22,6
S002,E00088,Stock,2026-05-09,16,22,6
S002,E00089,Cashier,2026-05-09,16,22,6
S002,E00090,Stock,2026-05-07,8,16,8
S002,E00092,Cashier,2026-05-04,16,22,6
S002,E00092,Cashier,2026-05-07,16,22,6
S002,E00093,Floor,2026-05-07,17,22,5
S002,E00093,Floor,2026-05-08,17,22,5
S002,E00094,Stock,2026-05-03,8,16,8
S002,E00095,Customer Service,2026-05-04,8,16,8
S002,E00095,Customer Service,2026-05-05,8,16,8
S002,E00095,Customer Service,2026-05-07,16,22,6
S002,E00095,Customer Service,2026-05-08,16,22,6
S002,E00096,Stock,2026-05-08,16,22,6
S002,E00097,Customer Service,2026-05-05,16,22,6
S002,E00097,Customer Service,2026-05-08,17,22,5
S002,E00097,Customer Service,2026-05-09,17,22,5
S002,E00099,Cashier,2026-05-04,8,16,8
S002,E00099,Cashier,2026-05-05,8,16,8
S002,E00099,Cashier,2026-05-06,8,16,8
S002,E00100,Floor,2026-05-06,16,22,6
S002,E00100,Floor,2026-05-09,16,22,6
S002,E00102,Floor,2026-05-04,12,20,8
S002,E00104,Customer Service,2026-05-03,8,16,8
S002,E00104,Customer Service,2026-05-04,17,22,5
S002,E00104,Customer Service,2026-05-06,8,16,8
S002,E00105,Stock,2026-05-05,16,22,6
S002,E00107,Floor,2026-05-07,8,16,8
S002,E00108,Supervisor,2026-05-03,14,22,8
S002,E00108,Supervisor,2026-05-04,14,22,8
S002,E00108,Supervisor,2026-05-06,8,16,8
S002,E00108,Supervisor,2026-05-07,8,16,8
S002,E00108,Supervisor,2026-05-08,8,16,8
S002,E00109,Cashier,2026-05-03,8,16,8
S002,E00109,Cashier,2026-05-05,17,22,5
S002,E00109,Cashier,2026-05-09,17,22,5
S002,E00110,Customer Service,2026-05-04,16,22,6
S002,E00110,Customer Service,2026-05-07,8,16,8
S002,E00110,Customer Service,2026-05-09,16,22,6
S002,E00111,Floor,2026-05-03,8,16,8
S002,E00111,Floor,2026-05-04,17,22,5
S002,E00111,Floor,2026-05-08,10,18,8
S002,E00111,Floor,2026-05-09,16,22,6
S002,E00113,Floor,2026-05-08,8,16,8
S002,E00114,Floor,2026-05-05,14,22,8
S002,E00114,Floor,2026-05-06,12,20,8
S002,E00114,Floor,2026-05-09,8,16,8
S002,E00116,Stock,2026-05-05,8,16,8
S002,E00116,Stock,2026-05-06,8,16,8
S002,E00116,Stock,2026-05-08,8,16,8
S002,E00118,Cashier,2026-05-04,17,22,5
S002,E00119,Supervisor,2026-05-03,8,16,8
S002,E00119,Supervisor,2026-05-05,14,22,8
S002,E00119,Supervisor,2026-05-06,14,22,8
S002,E00119,Supervisor,2026-05-09,8,16,8
S002,E00120,Stock,2026-05-09,8,16,8
S002,E00122,Cashier,2026-05-09,16,22,6
S002,E00123,Cashier,2026-05-03,17,22,5
