store_id,employee_id,assigned_role,date,shift_start,shift_end,duration
S001,E00003,Cashier,2026-05-03,8,16,8
S001,E00006,Cashier,2026-05-03,8,16,8
S001,E00007,Cashier,2026-05-03,8,16,8
S001,E00011,Cashier,2026-05-03,8,16,8
S001,E00001,Floor,2026-05-03,8,16,8
S001,E00004,Floor,2026-05-03,8,16,8
S001,E00013,Floor,2026-05-03,8,16,8
S001,E00005,Stock,2026-05-03,8,16,8
S001,E00008,Stock,2026-05-03,8,16,8
S001,E00002,Customer Service,2026-05-03,8,16,8
S001,E00038,Customer Service,2026-05-03,8,16,8
S001,E00014,Supervisor,2026-05-03,8,16,8
S001,E00003,Cashier,2026-05-03,14,22,8
S001,E00006,Cashier,2026-05-03,14,22,8
S001,E00007,Cashier,2026-05-03,14,22,8
S001,E00011,Cashier,2026-05-03,14,22,8
S001,E00015,Cashier,2026-05-03,14,22,8
S001,E00001,Floor,2026-05-03,14,22,8
S001,E00004,Floor,2026-05-03,14,22,8
S001,E00013,Floor,2026-05-03,14,22,8
S001,E00005,Stock,2026-05-03,14,22,8
S001,E00008,Stock,2026-05-03,14,22,8
S001,E00002,Customer Service,2026-05-03,14,22,8
S001,E00038,Customer Service,2026-05-03,14,22,8
S001,E00014,Supervisor,2026-05-03,14,22,8
S002,E00081,Cashier,2026-05-03,8,16,8
S002,E00089,Cashier,2026-05-03,8,16,8
S002,E00092,Cashier,2026-05-03,8,16,8
S002,E00084,Floor,2026-05-03,8,16,8
S002,E00085,Floor,2026-05-03,8,16,8
S002,E00082,Stock,2026-05-03,8,16,8
S002,E00095,Customer Service,2026-05-03,8,16,8
S002,E00087,Supervisor,2026-05-03,8,16,8
S002,E00081,Cashier,2026-05-03,14,22,8
S002,E00089,Cashier,2026-05-03,14,22,8
S002,E00092,Cashier,2026-05-03,14,22,8
S002,E00084,Floor,2026-05-03,14,22,8
S002,E00085,Floor,2026-05-03,14,22,8
S002,E00082,Stock,2026-05-03,14,22,8
S002,E00095,Customer Service,2026-05-03,14,22,8
S002,E00097,Customer Service,2026-05-03,14,22,8
S002,E00087,Supervisor,2026-05-03,14,22,8
S003,E00161,Cashier,2026-05-03,8,16,8
S003,E00162,Cashier,2026-05-03,8,16,8
S003,E00163,Cashier,2026-05-03,8,16,8
S003,E00164,Floor,2026-05-03,8,16,8
S003,E00165,Floor,2026-05-03,8,16,8
S003,E00167,Stock,2026-05-03,8,16,8
S003,E00177,Customer Service,2026-05-03,8,16,8
S003,E00182,Customer Service,2026-05-03,8,16,8
S003,E00172,Supervisor,2026-05-03,8,16,8
S003,E00161,Cashier,2026-05-03,14,22,8
S003,E00162,Cashier,2026-05-03,14,22,8
S003,E00163,Cashier,2026-05-03,14,22,8
S003,E00166,Cashier,2026-05-03,14,22,8
S003,E00164,Floor,2026-05-03,14,22,8
S003,E00165,Floor,2026-05-03,14,22,8
S003,E00171,Floor,2026-05-03,14,22,8
S003,E00167,Stock,2026-05-03,14,22,8
S003,E00169,Stock,2026-05-03,14,22,8
S003,E00177,Customer Service,2026-05-03,14,22,8
S003,E00182,Customer Service,2026-05-03,14,22,8
S003,E00172,Supervisor,2026-05-03,14,22,8
S004,E00242,Cashier,2026-05-03,8,16,8
S004,E00243,Cashier,2026-05-03,8,16,8
S004,E00244,Cashier,2026-05-03,8,16,8
S004,E00241,Floor,2026-05-03,8,16,8
S004,E00252,Floor,2026-05-03,8,16,8
S004,E00249,Stock,2026-05-03,8,16,8
S004,E00246,Customer Service,2026-05-03,8,16,8
S004,E00247,Supervisor,2026-05-03,8,16,8
S004,E00242,Cashier,2026-05-03,14,22,8
S004,E00243,Cashier,2026-05-03,14,22,8
S004,E00244,Cashier,2026-05-03,14,22,8
S004,E00241,Floor,2026-05-03,14,22,8
S004,E00252,Floor,2026-05-03,14,22,8
S004,E00249,Stock,2026-05-03,14,22,8
S004,E00246,Customer Service,2026-05-03,14,22,8
S004,E00258,Customer Service,2026-05-03,14,22,8
S004,E00247,Supervisor,2026-05-03,14,22,8
S005,E00322,Cashier,2026-05-03,8,16,8
S005,E00323,Cashier,2026-05-03,8,16,8
S005,E00324,Cashier,2026-05-03,8,16,8
S005,E00321,Floor,2026-05-03,8,16,8
S005,E00329,Floor,2026-05-03,8,16,8
S005,E00326,Stock,2026-05-03,8,16,8
S005,E00335,Customer Service,2026-05-03,8,16,8
S005,E00328,Supervisor,2026-05-03,8,16,8
S005,E00322,Cashier,2026-05-03,14,22,8
S005,E00323,Cashier,2026-05-03,14,22,8
S005,E00324,Cashier,2026-05-03,14,22,8
S005,E00321,Floor,2026-05-03,14,22,8
S005,E00329,Floor,2026-05-03,14,22,8
S005,E00326,Stock,2026-05-03,14,22,8
S005,E00335,Customer Service,2026-05-03,14,22,8
S005,E00345,Customer Service,2026-05-03,14,22,8
S005,E00328,Supervisor,2026-05-03,14,22,8
S006,E00408,Cashier,2026-05-03,8,16,8
S006,E00414,Cashier,2026-05-03,8,16,8
S006,E00417,Cashier,2026-05-03,8,16,8
S006,E00404,Floor,2026-05-03,8,16,8
S006,E00409,Floor,2026-05-03,8,16,8
S006,E00401,Stock,2026-05-03,8,16,8
S006,E00403,Customer Service,2026-05-03,8,16,8
S006,E00402,Supervisor,2026-05-03,8,16,8
S006,E00408,Cashier,2026-05-03,14,22,8
S006,E00414,Cashier,2026-05-03,14,22,8
S006,E00417,Cashier,2026-05-03,14,22,8
S006,E00404,Floor,2026-05-03,14,22,8
S006,E00409,Floor,2026-05-03,14,22,8
S006,E00401,Stock,2026-05-03,14,22,8
S006,E00403,Customer Service,2026-05-03,14,22,8
S006,E00411,Customer Service,2026-05-03,14,22,8
S006,E00402,Supervisor,2026-05-03,14,22,8
S007,E00483,Cashier,2026-05-03,8,16,8
S007,E00484,Cashier,2026-05-03,8,16,8
S007,E00488,Cashier,2026-05-03,8,16,8
S007,E00489,Cashier,2026-05-03,8,16,8
S007,E00490,Cashier,2026-05-03,8,16,8
